schema	1
workload_sha256	ef7890d4cd5e04360a1a952d3aefb7c0378f1c1f929ce0e2484c25eb727f66c5
admission	pass
load_one	3.70
logical_cpus	10
free_memory_percent	46
subject	Infinitty v0.1.7 narrow Metal
version	0.1.7@09b3e8b2aa3cec72a3c9a1db604c9c3c5235ee1c
availability	measured-fresh-process
workload_mode	20 app-socket panes replaying W4 trace
sessions_requested	20
sessions_observed	20
preexisting_sessions	0
events_per_session	14
baseline_rss_bytes	66764800
peak_rss_bytes	120406016
steady_rss_bytes	120258560
steady_rss_samples	120406016,120406016,120307712,120307712,120258560,120258560,120258560,120225792,120225792,120225792,120225792
distinct_pid_count	21
steady_pid_count	21
fleet_spawn_wall_us	821882
spawn_latency_p50_us	13812
spawn_latency_p95_us	41582
spawn_latency_p99_us	175346
capability_gaps	App-socket pane acknowledgement is measured; persistence/passive restore, capability authorization, supervisor attestation, and event→flushed-redraw receipts are N/A.
